site_code,name,description,site_type,active,operational,operations_organization_code,operations_organization_name,latitude,longitude,rkm,source
0HR,Henrys Instream Array,This site is 3.2 km below the confluence of Hayden Creek and the Lemhi River on private land near Lemhi Idaho. This is a single pass array consisting of three 20ft HDPE Biomark antennas. This is powered by a four panel solar system with four 115 ah batteries. This site is utilized as a checkpoint and one of the first arrays that juvenile fish tagged by IDFG at two rotary screw traps in Hayden Creek and the upper Lemhi trap encounter. ,Instream Remote Detection System,TRUE,TRUE,BIOMRK,Biomark,44.896901,-113.624685,522.303.416.047,interrogation
158,Fifteenmile Ck at Eightmile Ck,"Instream detection array at the confluence of Eightmile creek and Fifteenmile creeks, consisting of a FS1001M multiplexing transceiver, cell modem, and three antennas in each creek. antenna arrays for each creek consist of one antenna each that spans the normal high-water mark and is secured to the substrate for pass-over detection. Site is grid-powered and operates year-round. site is on private land.",Instream Remote Detection System,TRUE,TRUE,ODFW,Oregon Dept. of Fish and Wildlife,45.606425,-121.08628,309.004,interrogation
15D,Fifteenmile Ck at Dry Ck,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF FIFTEENMILE CREEK AND DRY CREEK. THE SITE CONSISTS OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION CONSISTS OF TWO ARRAYS EACH ON DRY AND FIFTEEN MILE CREEKS, SPANNING THE WIDTH OF THE CREEKS WITHIN THE NORMAL HIGH WATER MARKS. THE ANTENNA ARRAYS ON DRY CREEK CONSIST OF ONE ANTENNA EACH. THE ARRAYS ON FIFTEENMILE CREEK CONSIST OF TWO ANTENNAS EACH. ANTENNAS ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND. Site was removed June 2019.",Instream Remote Detection System,FALSE,FALSE,ODFW,Oregon Dept. of Fish and Wildlife,45.506158,-121.046218,309.038,interrogation
15R,Fifteenmile Ck at Ramsey Ck,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF FIFTEENMILE CREEK AND RAMSEY CREEK, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION FOR THIS SITE CONSISTS OF TWO ARRAYS EACH ON RAMSEY AND FIFTEENMILE CREEKS SPANNING THE WIDTH OF THE CREEKS WITHIN THE NORMAL HIGH WATER MARKS. THE ARRAYS ON RAMSEY CREEK CONSIST OF ONE ANTENNA EACH. THE ARRAYS ON FIFTEENMILE CREEK CONSIST OF TWO ANTENNAS EACH. ANTENNAS ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS SOLAR-POWERED AND OPERATES YEAR-ROUND. LOCATED ON PRIVATE LAND. Site was removed in April 2018",Instream Remote Detection System,FALSE,FALSE,ODFW,Oregon Dept. of Fish and Wildlife,45.433719,-121.217211,309.056,interrogation
18M,Eighteenmile Creek,"An in-stream detection system on Eighteenmile Creek located approximately 300 meters upstream from the confluence with Texas Creek to form the Lemhi River.  This detection system is comprised of two arrays installed serially with one 10 ft. ABS antenna at each array location.  18M is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed in the summer of 2014.  The site is powered by batteries banks that are charged by solar panels next to the control box and communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors.",Instream Remote Detection System,TRUE,NA,BIOMRK,Biomark,44.682795,-113.35366,522.303.416.092.001,interrogation
18N,1890s Channel Methow River,This is a passive in-stream interrogation consisting of 1 channel spanning antenna.  The array is located near the confluence of the Methow River at river km 67.,Instream Remote Detection System,TRUE,FALSE,YINN,Yakama Nation,48.373079,-120.12264,843.067.000,interrogation
1BC,"Upper Big Creek, Yakima Basin",Upper Big Creek antennas are located South West of the I-90 just up stream of Kittitas Reclamation District (KRD) supplementation and below KRD Canal. The antennas are two pass throughs located approximately 30 feet from one another spanning Big Creek.,Instream Remote Detection System,TRUE,TRUE,USFWS,U.S. Fish and Wildlife Service,47.200822,-121.115753,539.315.002,interrogation
1LC,"Upper Little Creek, Yakima","Upper Little Creek antennas are located South West of I-90 just up stream of the Yakima River Confluence. These antennas are located just above the Kittitas Reclamation District (KRD) Canal and water Supplementaion influence. The antennas are pass throughs, installed approximately 30 feet from one another spanning Little Creek.",Instream Remote Detection System,TRUE,TRUE,USFWS,U.S. Fish and Wildlife Service,47.193131,-121.096759,539.313.002,interrogation
1TC,Upper Tucker Creek,"This full duplex site is located in Upper Tucker Creek, Yakima Basin, just upstream of the Kittitas Reclamation District canal crossing and the fish ladder within Tucker Creek. The site will be used to monitor fish restoration efforts in the creek and ongoing water supplementation efforts by Kittitas Reclamation District.",Instream Remote Detection System,TRUE,TRUE,USFWS,U.S. Fish and Wildlife Service,47.21993,-121.164863,539.321.001,interrogation
2BC,"Lower Big Creek, Yakima Basin","Lower Big Creek antennas are located just North East of I-90 just up stream of the Yakima River Confluence. The antennas are pass throughs, installed approximately 30 feet from one another spanning Big creek.",Instream Remote Detection System,TRUE,TRUE,USFWS,U.S. Fish and Wildlife Service,47.212934,-121.103188,539.315.001,interrogation
2LC,"Lower Little Creek, Yakima","Lower Little Creek antennas are located North of I-90 just up stream of the Yakima River Confluence. The antennas are pass throughs, installed approximately 30 feet from one another spanning Little Creek. The site is solar powered with 4 6V batteries powering two IS1001 standalone antennas that are both exciter and timer synched.",Instream Remote Detection System,TRUE,TRUE,USFWS,U.S. Fish and Wildlife Service,47.204609,-121.08039,539.313.000,interrogation
30M,Thirtymile Crk John Day Basin,"This site is located at rkm 0.5 on Thirtymile Creek (30ML2C), a tributarty to the John Day River.  The 30M array consists of two 20 ft BioLite antennas which are spaced up and downstream by 10 m to provide directionality of detection.  The antennas are driven by IS1001 ACNs, which are daisy-chained from one port of an IS1001-MC.  The 30M array is powered by a bank of 6 solar panels tied to 4 250ah batteries (connected in series and parallel).  The 30M array is manually downloaded at least monthly during the migration season (October to May), and at least every other month during June to September.",Instream Remote Detection System,TRUE,TRUE,ODFW,Oregon Dept. of Fish and Wildlife,45.162073,-120.465021,351.134.001,interrogation
3BV,Bear Valley Creek Array,"Used to estimate adult escapement to Upper Bear Valley Creek, were the bulk of the spawning habitat is present. Also used to estimate juvenile survival and migration timing in Bear Valley Creek.",Instream Remote Detection System,TRUE,NA,SHOBAN,Shoshone-Bannock Tribes,44.42805,-115.28441,522.303.319.170.006,interrogation
3D1,Top of 3D Side Channel,This is a single pass through antenna near the top of the 3D side channel to the Entiat River. The site is located on Entiat River at river kilometer 42.7. The antenna spans across the width of the channel. The site equipment used to decode full duplex tags is an Allflex reader board and data is stored on an Acumen data logger. A half-duplex timer tag is strapped to the antenna itself. Antenna ID is 10. Timer tags are activated and set to 31 minute intervals. The antenna is configured in a pass through position and anchored with 2 t-posts into the substrate. Site was decomissioned in March 2017,Instream Remote Detection System,FALSE,FALSE,USFWS,U.S. Fish and Wildlife Service,47.8921,-120.4502,778.043,interrogation
3D2,Middle-1 of 3D Side Channel,"This is a single pass through antenna near the bottom of the 3D side channel, before its convergence with Brennegan Creek, to the Entiat River. The site is located on Entiat River at river kilometer 42.7. The antenna spans across the width of the channel. The site equipment used to decode full duplex tags is an Allflex reader board and data is stored on an Acumen data logger. A half-duplex timer tag is strapped to the antenna itself. Antenna ID is 11. Timer tags are activated and set to 31 minute intervals. The antenna is configured in a pass through position and anchored with 2 t-posts into the substrate. Site was decomissioned in January 2017",Instream Remote Detection System,FALSE,FALSE,USFWS,U.S. Fish and Wildlife Service,47.89186,-120.448,778.043,interrogation
3D3,Middle-2 of 3D Side Channel,"This is a single pass through antenna near the bottom of the 3D side channel to the Entiat River, at its convergence with Brennegan Creek. The site is located on Entiat River at river kilometer 42.7. The antenna spans across the width of the channel. The site equipment used to decode full duplex tags is an Allflex reader board and data is stored on an Acumen data logger. A half-duplex timer tag is strapped to the antenna itself. Antenna ID is 12. Timer tags are activated and set to 31 minute intervals. The antenna is configured in a pass through position and anchored with 2 t-posts into the substrate. Site was decomissioned in January 2017",Instream Remote Detection System,FALSE,FALSE,USFWS,U.S. Fish and Wildlife Service,47.89192,-120.4477,778.043,interrogation
3D4,Bottom of 3D Side Channel,"This is a single pass through antenna near the bottom of Brennegan Creek and 3D side channel to the Entiat River, at its convergence with the Entiat River. The site is located on Entiat River at river kilometer 42.7. The antenna spans across the width of the channel. The site equipment used to decode full duplex tags is an Allflex reader board and data is stored on an Acumen data logger. A half-duplex timer tag is strapped to the antenna itself. Antenna ID is 13. Timer tags are activated and set to 31 minute intervals. The antenna is configured in a pass through position and anchored with 2 t-posts into the substrate. Site was decomissioned in December 2016",Instream Remote Detection System,FALSE,FALSE,USFWS,U.S. Fish and Wildlife Service,47.89043,-120.4475,778.043,interrogation
4JC,Fourth of July Creek Mouth,"The Fourth of July Creek (4JC)  interrogation site consists of a single in-stream detection system located in Fourth of July Creek in the Salmon River Basin approximately 150m upstream of the confluence of Fourth of July Creek with the Salmon River. The array consists of a single 10-foot Biomark HPDE antenna, one IS1001 antenna control node, and a battery box on the west side of the creek. The array spans the entire creek at base flow. 4JC is operated by the Idaho Department of Fish and Game Anadromous Fish Screen Program (AFS) project. ",Instream Remote Detection System,TRUE,NA,IDFG,Idaho Dept. of Fish and Game,44.031354,-114.835597,522.303.630.000,interrogation
85M,Eightmile Ck at Fivemile Ck,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF EIGHTMILE CREEK AND FIVEMILE CREEK, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION CONSISTS OF THREE ANTENNAS IN EACH CREEK. EACH ANTENNA SPANS THE CREEK WITHIN THE NORMAL HIGH WATER MARK AND IS SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS SOLAR-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND. Site removed December 2018.",Instream Remote Detection System,FALSE,FALSE,ODFW,Oregon Dept. of Fish and Wildlife,45.593295,-121.080635,309.004.002,interrogation
AB1,Abernathy Creek FWS Tech Cntr.,Bridge over Abernathy Creek (WA.) at Abernathy Fish Technology Center (AFTC) Site is no longer active.,Instream Remote Detection System,FALSE,FALSE,USFWS,U.S. Fish and Wildlife Service,46.22635,-123.147773,087.005,interrogation
AB2,Abernathy Creek Farmers Bridge,"Private bridge over Abernathy Creek (WA.) at rkm 3, 1.5 km downstream from Abernathy FTC",Instream Remote Detection System,FALSE,NA,USFWS,U.S. Fish and Wildlife Service,46.212653,-123.147325,087.003,interrogation
AB3,Lower Abernathy Creek,"Interrogation site to monitor/research: salmon and steelhead life cycles, juvenile coho life history diversity, contributions of the various juvenile coho life histories (fall migrants, winter migrants, spring (smolt) migrants) to adult escapement, improve SARs for coho and steelhead in the lower Columbia. Originally operated by USFWS from 2009-2019, reinstalled in 2022 by WDFW.",Instream Remote Detection System,TRUE,TRUE,WDFW,Washington Dept. of Fish and Wildlife,46.194136,-123.166929,087.001,interrogation
AB4,Abernathy Creek Hatch Channel,An array of two antennas is located in the hatchery release channel on Abernathy Creek at the USFWS Abernathy Fish Technology Center. Site is no longer active.,Monitored Fish Release,FALSE,NA,USFWS,U.S. Fish and Wildlife Service,46.226228,-123.148616,087.005,interrogation
AB5,Abernathy Creek Concrete Weir,"Interrogation site to monitor/research salmon and steelhead life cycles, juvenile coho life history diversity, contributions of the various juvenile coho life histories (fall migrants, winter migrants, spring (smolt) migrants) to adult escapement, improve adult escapement estimates and improve SARs for coho and steelhead in the lower Columbia. The antennas are installed in the fishway of a decommissioned electric weir. ",Instream Remote Detection System,TRUE,TRUE,WDFW,Washington Dept. of Fish and Wildlife,46.225745,-123.148285,087.005,interrogation
ACB,Asotin Cr. at Cloverland Brdg.,"ACB is a permanent instream PIT tag interrogation site located near Cloverland Bridge (RKM 4.5) on Asotin Creek, a tributary of the Snake River. As of 10/23/2018 all previous components present at ACB have been replaced and upgraded. The site consists of 2 rows of antennas with each row containing one 20-foot and one 10-foot HDPE antenna, installed in flat-plate configuration. Each antenna is powered by a Biomark IS1001 (ACN) and the ACNs are connected to a Biomark IS1001-MTS master controller. The antennas were built and installed by WDFW. The site is connected to grid power to charge the battery bank powering the detection system. A cellular modem is installed on site to provide remote communication and allow for automated data collection, however, only manual data collection from the IS1001-MTS will occur at ACB until further notice. Prior to the upgrade, the site consisted of three antennas powered by an FS1001M.",Instream Remote Detection System,TRUE,TRUE,SRSRB,Snake River Salmon Recovery Board,46.325584,-117.108679,522.234.005,interrogation
ACM,Asotin Creek near mouth,"ACM is a permanent instream PIT tag interrogation site located near the mouth of Asotin Creek, a tributary of the Snake River. As of 10/12/2018 all previous components present at ACM have been replaced and upgraded. The site consists of 3 rows of antennas with each row containing two 20- foot HDPE antennae, installed in flat-plate configuration. Each antenna is powered by a Biomark IS1001 (ACN) and the ACNs are connected to a Biomark IS1001-MTS master controller. The antennas were built and installed by WDFW. The site is connected to grid power to charge the battery bank powering the detection system. A cellular modem is installed on site to provide remote communication and allow for automated data collection, however, only manual data collection from the IS1001-MTS will occur at ACM until further notice. Prior to the upgrade, the site consisted of six antennas powered by an FS1001M.",Instream Remote Detection System,TRUE,TRUE,SRSRB,Snake River Salmon Recovery Board,46.341368,-117.055707,522.234.001,interrogation
AEN,Aeneas Creek Temporary Array,"AEN is a permanent PIT tag interrogation site on Aeneas Creek.  Aeneas Creek enters the Okanogan River at RKM 85.3, approximately 6.7 km down river from the town of Tonasket, WA.  The AEN site is located approximately 0.2 km upstream from the confluence of the Okanogan River.  The site consists of a single 10 foot antenna anchored upright for pass-through detection.  The antenna spans the wetted width of the channel at base flow.  When installed in 2014 AEN was equipped with an Allflex RM 310 reader and an Acumen Data logger powered by batteries.  In August 2018, the site was updated with a 10 foot HDPE antenna, IS1001 reader, and solar panels to provide power to the 12V battery bank.",Instream Remote Detection System,TRUE,TRUE,CCT,Colville Confederated Tribes,48.658578,-119.476197,858.086.001,interrogation
AFC,No./So. Fk Asotin Cr. Jct. ISA,"AFC is a permanent instream PIT tag interrogation site located at the confluence of the North and South Forks Asotin Creek, a tributary of the Snake River. As of 10/25/2018 all previous components present at AFC have been replaced and upgraded. The site consists of a single 20-foot antenna in the North Fork (antenna ID 1), a single 15-foot antenna in the South Fork (antenna ID 2) and two rows containing a 20 and 15-foot antenna each (antenna IDs 3-6) in the mainstem of Asotin Creek below the confluence. All new antennas are constructed of HDPE and installed in flat-plate configuration. Each antenna is powered by a Biomark IS1001 (ACN) and the ACNs are connected to a Biomark IS1001-MTS master controller. The antennas were built and installed by WDFW. The site is connected to grid power to charge the battery bank powering the detection system. A cellular modem is installed on site to provide remote communication and allow for automated data collection, however, only manual data collection from the IS1001-MTS will occur at AFC until further notice. Prior to the upgrade, the site consisted of six muxed antennas powered by an FS1001M.",Instream Remote Detection System,TRUE,TRUE,SRSRB,Snake River Salmon Recovery Board,46.272487,-117.292147,522.234.025,interrogation
