tag,mark_file,mark_data_project,mark_site,mark_date,release_site,release_date,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,length,mark_count
384.1B796B312F,CGS12004.BTM,CGS - Charles Snow Projects,METHR - Methow River,1/4/2012,METHR - Methow River,2/8/2012,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,444,1
384.1B796B31B0,CGS11194.TW1,CGS - Charles Snow Projects,TWISPR - Twisp River,7/13/2011,TWISPW - Twisp River Weir (WDFW),7/30/2011,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,480,1
384.1B796B321E,CGS12160.TW2,CGS - Charles Snow Projects,TWISPW - Twisp River Weir (WDFW),6/8/2012,TWISPW - Twisp River Weir (WDFW),6/23/2012,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,660,1
384.1B796B32A2,CGS11194.TW1,CGS - Charles Snow Projects,TWISPR - Twisp River,7/13/2011,TWISPW - Twisp River Weir (WDFW),7/21/2011,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,510,1
384.1B796B3377,CGS12004.BTM,CGS - Charles Snow Projects,METHR - Methow River,1/4/2012,METHR - Methow River,2/8/2012,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,520,1
384.1B796B33C0,CGS12135.WL2,CGS - Charles Snow Projects,WEL - Wells Dam,5/14/2012,WELLD2 - WEL - Release into the West Adult Fish Ladder,6/12/2012,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,510,1
384.1B796B3589,CGS11194.TW1,CGS - Charles Snow Projects,TWISPR - Twisp River,7/13/2011,TWISPW - Twisp River Weir (WDFW),7/21/2011,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,540,1
384.1B796B3706,CGS12004.BTM,CGS - Charles Snow Projects,METHR - Methow River,1/4/2012,METHR - Methow River,2/8/2012,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,419,1
384.1B796B387C,CGS12160.TW2,CGS - Charles Snow Projects,TWISPW - Twisp River Weir (WDFW),6/8/2012,TWISPW - Twisp River Weir (WDFW),6/13/2012,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,510,1
384.1B796B3894,CGS11194.TW1,CGS - Charles Snow Projects,TWISPR - Twisp River,7/13/2011,TWISPW - Twisp River Weir (WDFW),8/13/2011,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,440,1
384.1B796B3C42,CGS11194.TW1,CGS - Charles Snow Projects,TWISPR - Twisp River,7/13/2011,TWISPW - Twisp River Weir (WDFW),7/24/2011,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,470,1
384.1B796B3E65,CGS12160.TW2,CGS - Charles Snow Projects,TWISPW - Twisp River Weir (WDFW),6/8/2012,TWISPW - Twisp River Weir (WDFW),6/23/2012,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,500,1
384.1B796B3E9C,CGS12160.TW2,CGS - Charles Snow Projects,TWISPW - Twisp River Weir (WDFW),6/8/2012,TWISPW - Twisp River Weir (WDFW),6/23/2012,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,530,1
384.1B796B7651,CGS12160.TW2,CGS - Charles Snow Projects,TWISPW - Twisp River Weir (WDFW),6/8/2012,TWISPW - Twisp River Weir (WDFW),6/23/2012,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,510,1
384.1B796B782E,CGS12004.BTM,CGS - Charles Snow Projects,METHR - Methow River,1/4/2012,METHR - Methow River,2/8/2012,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,533,1
