tag,mark_file,mark_date,mark_site,release_date,release_site,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,recap_date,recap_file,recap_release_date,recap_release_site,recap_site,recap_species_code,recap_species_name,recap_run_code,recap_run_name,recap_rear_type_code,recap_rear_type_name,recap_length,recap_capture_method_name,recap_capture_method_code,recap_count
384.1B796B32A2,CGS11194.TW1,7/13/2011,TWISPR - Twisp River,7/21/2011,TWISPW - Twisp River Weir (WDFW),7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,6/8/2012,CGS12160.TW1,7/10/2012,TWISPW - Twisp River Weir (WDFW),TWISPW - Twisp River Weir (WDFW),7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,530,Weir Trap,WTRAP,1
384.1B796B32A2,CGS11194.TW1,7/13/2011,TWISPR - Twisp River,7/21/2011,TWISPW - Twisp River Weir (WDFW),7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,5/28/2013,CGS13148.TW1,6/28/2013,TWISPW - Twisp River Weir (WDFW),TWISPW - Twisp River Weir (WDFW),7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,560,Weir Trap,WTRAP,1
384.1B796B32A2,CGS11194.TW1,7/13/2011,TWISPR - Twisp River,7/21/2011,TWISPW - Twisp River Weir (WDFW),7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,6/2/2014,CGS14153.TW2,7/3/2014,TWISPW - Twisp River Weir (WDFW),TWISPW - Twisp River Weir (WDFW),7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,600,Weir Trap,WTRAP,1
384.1B796B387C,CGS12160.TW2,6/8/2012,TWISPW - Twisp River Weir (WDFW),6/13/2012,TWISPW - Twisp River Weir (WDFW),7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,6/2/2014,CGS14153.TW2,6/18/2014,TWISPW - Twisp River Weir (WDFW),TWISPW - Twisp River Weir (WDFW),7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,600,Weir Trap,WTRAP,1
384.1B796B3894,CGS11194.TW1,7/13/2011,TWISPR - Twisp River,8/13/2011,TWISPW - Twisp River Weir (WDFW),7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,6/8/2012,CGS12160.TW1,7/20/2012,TWISPW - Twisp River Weir (WDFW),TWISPW - Twisp River Weir (WDFW),7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,470,Weir Trap,WTRAP,1
384.1B796B3E65,CGS12160.TW2,6/8/2012,TWISPW - Twisp River Weir (WDFW),6/23/2012,TWISPW - Twisp River Weir (WDFW),7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,6/2/2014,CGS14153.TW2,7/5/2014,TWISPW - Twisp River Weir (WDFW),TWISPW - Twisp River Weir (WDFW),7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,600,Weir Trap,WTRAP,1
384.1B796B3E9C,CGS12160.TW2,6/8/2012,TWISPW - Twisp River Weir (WDFW),6/23/2012,TWISPW - Twisp River Weir (WDFW),7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,6/2/2014,CGS14153.TW2,7/8/2014,TWISPW - Twisp River Weir (WDFW),TWISPW - Twisp River Weir (WDFW),7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,600,Weir Trap,WTRAP,1
384.1B796B7B69,CGS11194.TW1,7/13/2011,TWISPR - Twisp River,7/29/2011,TWISPW - Twisp River Weir (WDFW),7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,6/8/2012,CGS12160.TW1,7/12/2012,TWISPW - Twisp River Weir (WDFW),TWISPW - Twisp River Weir (WDFW),7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,590,Weir Trap,WTRAP,1
384.1B796B7B69,CGS11194.TW1,7/13/2011,TWISPR - Twisp River,7/29/2011,TWISPW - Twisp River Weir (WDFW),7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,5/7/2014,CGS14127.WL1,6/3/2014,WELLD2 - WEL - Release into the West Adult Fish Ladder,WELLD2 - WEL - Release into the West Adult Fish Ladder,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,660,Adult Passage Ladder,LADDER,1
384.1B796B7B69,CGS11194.TW1,7/13/2011,TWISPR - Twisp River,7/29/2011,TWISPW - Twisp River Weir (WDFW),7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,6/2/2014,CGS14153.TW2,7/1/2014,TWISPW - Twisp River Weir (WDFW),TWISPW - Twisp River Weir (WDFW),7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,670,Weir Trap,WTRAP,1
