tag,mark_file,mark_data_project,mark_site,mark_date,release_site,release_date,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,length,mark_count
384.1B796B33C0,CGS12135.WL2,CGS - Charles Snow Projects,WEL - Wells Dam,5/14/2012,WELLD2 - WEL - Release into the West Adult Fish Ladder,6/12/2012,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,510,1
384.1B796B8994,CGS12135.WL2,CGS - Charles Snow Projects,WEL - Wells Dam,5/14/2012,WELLD2 - WEL - Release into the West Adult Fish Ladder,6/14/2012,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,660,1
384.36F2B49E60,CGS14126.WL2,CGS - Charles Snow Projects,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/6/2014,WELLD2 - WEL - Release into the West Adult Fish Ladder,6/5/2014,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,660,1
384.36F2B4BF39,CGS13127.WL3,CGS - Charles Snow Projects,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/7/2013,WELLD2 - WEL - Release into the West Adult Fish Ladder,6/19/2013,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,580,1
384.36F2B4DAF4,CGS13127.WL1,CGS - Charles Snow Projects,WELLD2 - WEL - Release into the West Adult Fish Ladder,5/7/2013,WELLD2 - WEL - Release into the West Adult Fish Ladder,6/11/2013,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,640,1
3D9.1C2D45F630,CGS10137.EL1,CGS - Charles Snow Projects,WEL - Wells Dam,5/17/2010,WELLD1 - WEL - Release into the East Adult Fish Ladder,6/1/2010,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,640,1
3D9.1C2D4607ED,CGS11132.WL1,CGS - Charles Snow Projects,WEL - Wells Dam,5/12/2011,WELLD2 - WEL - Release into the West Adult Fish Ladder,6/13/2011,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,610,1
3D9.1C2D4611A8,CGS10123.WL1,CGS - Charles Snow Projects,WEL - Wells Dam,5/3/2010,WELFBY - WEL - Release into the Forebay within 0.5 km upstream of Dam,6/28/2010,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,570,1
3D9.1C2D462536,CGS10137.EL1,CGS - Charles Snow Projects,WEL - Wells Dam,5/17/2010,WELLD1 - WEL - Release into the East Adult Fish Ladder,5/24/2010,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,620,1
3D9.1C2D46315C,CGS10123.WL1,CGS - Charles Snow Projects,WEL - Wells Dam,5/3/2010,WELFBY - WEL - Release into the Forebay within 0.5 km upstream of Dam,6/8/2010,7,Bull Trout,R,Resident,W,Wild Fish or Natural Production,600,1
