          Wells Dam Bull Trout for 01/01/1998 to 04/28/2026        ,,,
Species,Location,Date,Size
Bull Trout,West Ladder,05/14/2010  3:27:41 PM,0
Bull Trout,East Ladder,05/14/2010  4:28:04 PM,0
Bull Trout,East Ladder,05/18/2010  2:03:01 AM,0
Bull Trout,East Ladder,05/19/2010  6:34:38 PM,0
Bull Trout,East Ladder,05/20/2010  8:19:10 PM,0
Bull Trout,East Ladder,05/21/2010  4:51:41 PM,0
Bull Trout,East Ladder,05/25/2010 11:06:50 AM,0
Bull Trout,East Ladder,05/27/2010  5:00:22 PM,0
Bull Trout,East Ladder,05/28/2010  1:46:36 PM,0
Bull Trout,East Ladder,05/28/2010  2:08:46 PM,0
Bull Trout,East Ladder,05/29/2010 10:44:06 AM,0
Bull Trout,East Ladder,05/30/2010  6:58:23 AM,0
Bull Trout,East Ladder,05/30/2010  6:46:48 PM,0
Bull Trout,East Ladder,05/31/2010  6:50:12 AM,0
Bull Trout,East Ladder,05/31/2010  1:10:35 PM,0
Bull Trout,East Ladder,06/01/2010  2:15:54 PM,0
Bull Trout,East Ladder,06/01/2010 11:01:24 PM,0
Bull Trout,East Ladder,06/02/2010  7:39:51 PM,0
Bull Trout,West Ladder,06/03/2010  4:00:00 PM,0
Bull Trout,West Ladder,06/03/2010  4:09:38 PM,0
Bull Trout,East Ladder,06/06/2010  2:45:12 PM,0
Bull Trout,East Ladder,06/08/2010  2:43:35 PM,0
Bull Trout,West Ladder,06/08/2010  4:00:00 PM,0
Bull Trout,East Ladder,06/09/2010 12:54:01 AM,0
Bull Trout,West Ladder,06/10/2010 12:31:51 PM,0
Bull Trout,East Ladder,06/10/2010  2:09:21 PM,0
Bull Trout,West Ladder,06/11/2010 11:58:46 AM,0
Bull Trout,East Ladder,06/18/2010  3:38:52 PM,0
Bull Trout,East Ladder,06/19/2010  1:51:12 PM,0
Bull Trout,West Ladder,06/25/2010  6:42:06 PM,0
Bull Trout,East Ladder,06/27/2010  6:42:08 PM,0
Bull Trout,East Ladder,06/27/2010  9:01:20 PM,0
Bull Trout,West Ladder,06/28/2010  7:45:20 AM,0
Bull Trout,West Ladder,06/28/2010  4:00:00 PM,0
Bull Trout,East Ladder,06/28/2010 10:01:08 PM,0
Bull Trout,East Ladder,07/08/2010  1:09:18 PM,0
Bull Trout,West Ladder,07/10/2010 10:13:42 AM,0
Bull Trout,East Ladder,07/10/2010  5:06:07 PM,0
Bull Trout,East Ladder,07/12/2010  8:18:09 AM,0
Bull Trout,West Ladder,07/14/2010 11:43:22 AM,0
Bull Trout,West Ladder,07/16/2010  3:48:10 AM,0
Bull Trout,West Ladder,10/29/2010  7:51:28 PM,0
Bull Trout,West Ladder,11/20/2010  4:28:01 AM,0
Bull Trout,East Ladder,05/16/2011  8:40:11 PM,0
Bull Trout,East Ladder,05/21/2011  2:40:21 PM,0
Bull Trout,East Ladder,05/22/2011 10:44:46 AM,0
Bull Trout,East Ladder,05/29/2011  6:10:59 PM,0
Bull Trout,West Ladder,05/29/2011  9:29:48 PM,0
Bull Trout,West Ladder,05/29/2011 10:07:51 PM,0
Bull Trout,East Ladder,05/30/2011  2:28:21 PM,0
Bull Trout,West Ladder,05/31/2011 12:48:11 PM,0
Bull Trout,West Ladder,06/01/2011 11:46:56 PM,0
Bull Trout,West Ladder,06/02/2011  1:35:30 PM,0
Bull Trout,East Ladder,06/03/2011  1:09:04 PM,0
Bull Trout,East Ladder,06/03/2011  2:05:13 PM,0
Bull Trout,West Ladder,06/03/2011  3:07:35 PM,0
Bull Trout,West Ladder,06/04/2011 11:25:54 AM,0
Bull Trout,East Ladder,06/04/2011 12:16:53 PM,0
Bull Trout,West Ladder,06/04/2011  2:55:00 PM,0
Bull Trout,East Ladder,06/04/2011  7:50:28 PM,0
Bull Trout,West Ladder,06/04/2011 11:33:37 PM,0
Bull Trout,West Ladder,06/05/2011 11:59:08 AM,0
Bull Trout,West Ladder,06/05/2011 11:16:15 PM,0
Bull Trout,West Ladder,06/07/2011  8:24:34 AM,0
Bull Trout,West Ladder,06/08/2011  5:40:46 PM,0
Bull Trout,East Ladder,06/11/2011  6:03:10 AM,0
Bull Trout,West Ladder,06/12/2011  9:25:42 AM,0
Bull Trout,West Ladder,06/13/2011 12:57:46 PM,0
Bull Trout,West Ladder,06/14/2011  3:21:46 PM,0
Bull Trout,East Ladder,06/14/2011  7:54:20 PM,0
Bull Trout,West Ladder,06/15/2011  1:54:24 PM,0
Bull Trout,West Ladder,06/16/2011 12:37:12 AM,0
Bull Trout,East Ladder,06/16/2011  9:46:36 AM,0
Bull Trout,West Ladder,06/16/2011 10:53:35 AM,0
Bull Trout,East Ladder,06/16/2011  2:10:41 PM,0
Bull Trout,West Ladder,06/17/2011  3:05:09 PM,0
Bull Trout,West Ladder,06/18/2011 12:06:18 AM,0
Bull Trout,West Ladder,06/18/2011 10:34:30 AM,0
Bull Trout,West Ladder,06/18/2011  2:27:19 PM,0
Bull Trout,East Ladder,06/19/2011  7:11:00 AM,0
Bull Trout,East Ladder,06/19/2011  8:15:28 AM,0
Bull Trout,West Ladder,06/19/2011  2:03:00 PM,0
Bull Trout,East Ladder,06/20/2011  5:22:21 PM,0
Bull Trout,West Ladder,06/21/2011  4:52:56 AM,0
Bull Trout,West Ladder,06/24/2011  1:16:16 PM,0
Bull Trout,West Ladder,06/25/2011  7:27:42 AM,0
Bull Trout,West Ladder,06/27/2011  3:43:57 PM,0
Bull Trout,East Ladder,06/30/2011  7:26:16 PM,0
Bull Trout,East Ladder,07/01/2011 10:09:42 AM,0
Bull Trout,East Ladder,07/01/2011  2:27:00 PM,0
Bull Trout,West Ladder,07/02/2011 10:20:14 PM,0
Bull Trout,East Ladder,07/03/2011  2:53:16 PM,0
Bull Trout,West Ladder,07/03/2011  7:04:29 PM,0
Bull Trout,East Ladder,07/05/2011  2:58:00 PM,0
Bull Trout,East Ladder,07/06/2011  6:31:42 PM,0
Bull Trout,East Ladder,07/06/2011  7:51:06 PM,0
Bull Trout,West Ladder,07/07/2011  5:04:25 PM,0
Bull Trout,East Ladder,07/09/2011 11:53:16 AM,0
Bull Trout,West Ladder,07/11/2011 12:16:46 AM,0
Bull Trout,East Ladder,07/11/2011  8:26:35 PM,0
Bull Trout,East Ladder,07/13/2011 10:01:29 AM,0
Bull Trout,West Ladder,07/15/2011  7:04:14 AM,0
Bull Trout,East Ladder,07/15/2011  1:44:33 PM,0
Bull Trout,East Ladder,07/16/2011 12:40:22 AM,0
Bull Trout,East Ladder,07/18/2011  3:26:16 PM,0
Bull Trout,West Ladder,07/23/2011  5:00:02 PM,0
Bull Trout,West Ladder,07/25/2011 12:29:32 AM,0
Bull Trout,West Ladder,08/30/2011  2:24:45 PM,0
Bull Trout,West Ladder,11/05/2011  9:46:25 AM,0
Bull Trout,East Ladder,05/15/2012  5:32:41 PM,22
Bull Trout,East Ladder,05/17/2012  4:15:03 PM,26
Bull Trout,West Ladder,05/19/2012 11:06:01 PM,20
Bull Trout,West Ladder,05/20/2012  7:27:34 AM,28
Bull Trout,West Ladder,05/20/2012  9:34:57 PM,18
Bull Trout,West Ladder,05/22/2012  7:45:36 PM,23
Bull Trout,East Ladder,05/22/2012  8:26:18 PM,25
Bull Trout,East Ladder,05/23/2012  2:13:31 PM,23
Bull Trout,West Ladder,05/23/2012  4:06:57 PM,21
Bull Trout,East Ladder,05/23/2012  4:14:01 PM,23
Bull Trout,West Ladder,05/23/2012 11:45:47 PM,22
Bull Trout,East Ladder,05/24/2012 10:30:59 AM,24
Bull Trout,West Ladder,05/24/2012  8:11:23 PM,22
Bull Trout,East Ladder,05/26/2012 10:29:20 PM,29
Bull Trout,East Ladder,05/27/2012 10:29:09 AM,23
Bull Trout,West Ladder,05/28/2012  5:03:06 PM,22
Bull Trout,East Ladder,05/28/2012  6:41:09 PM,23
Bull Trout,West Ladder,05/29/2012  4:28:36 PM,23
Bull Trout,West Ladder,06/01/2012 11:43:13 AM,20
Bull Trout,West Ladder,06/02/2012  1:22:48 AM,21
Bull Trout,East Ladder,06/02/2012  7:50:38 AM,20
Bull Trout,West Ladder,06/02/2012  8:27:21 AM,22
Bull Trout,East Ladder,06/02/2012 10:19:52 AM,20
Bull Trout,East Ladder,06/03/2012  5:29:35 PM,23
Bull Trout,West Ladder,06/04/2012 10:41:24 AM,22
Bull Trout,West Ladder,06/04/2012 11:29:15 AM,22
Bull Trout,East Ladder,06/04/2012  7:48:48 PM,22
Bull Trout,West Ladder,06/05/2012  6:11:18 AM,18
Bull Trout,East Ladder,06/08/2012 11:12:16 AM,20
Bull Trout,West Ladder,06/08/2012  6:11:21 PM,22
Bull Trout,West Ladder,06/09/2012  9:45:20 AM,21
Bull Trout,West Ladder,06/09/2012 12:43:25 PM,23
Bull Trout,West Ladder,06/09/2012  7:18:31 PM,21
Bull Trout,West Ladder,06/10/2012 12:26:44 AM,19
Bull Trout,East Ladder,06/10/2012 12:52:51 AM,23
