date,project,species,count,count_10yr_avg,temp_c
2010-01-01,Wells,Bull Trout,0,NA,NA
2010-01-02,Wells,Bull Trout,0,NA,NA
2010-01-03,Wells,Bull Trout,0,NA,NA
2010-01-04,Wells,Bull Trout,0,NA,NA
2010-01-05,Wells,Bull Trout,0,NA,NA
2010-01-06,Wells,Bull Trout,0,NA,NA
2010-01-07,Wells,Bull Trout,0,NA,NA
2010-01-08,Wells,Bull Trout,0,NA,NA
2010-01-09,Wells,Bull Trout,0,NA,NA
2010-01-10,Wells,Bull Trout,0,NA,NA
2010-01-11,Wells,Bull Trout,0,NA,NA
2010-01-12,Wells,Bull Trout,0,NA,NA
2010-01-13,Wells,Bull Trout,0,NA,NA
2010-01-14,Wells,Bull Trout,0,NA,NA
2010-01-15,Wells,Bull Trout,0,NA,NA
2010-01-16,Wells,Bull Trout,0,NA,NA
2010-01-17,Wells,Bull Trout,0,NA,NA
2010-01-18,Wells,Bull Trout,0,NA,NA
2010-01-19,Wells,Bull Trout,0,NA,NA
2010-01-20,Wells,Bull Trout,0,NA,NA
2010-01-21,Wells,Bull Trout,0,NA,NA
2010-01-22,Wells,Bull Trout,0,NA,NA
2010-02-07,Wells,Bull Trout,0,NA,NA
2010-02-10,Wells,Bull Trout,0,NA,NA
2010-02-17,Wells,Bull Trout,0,NA,NA
2010-02-20,Wells,Bull Trout,0,NA,NA
2010-02-21,Wells,Bull Trout,0,NA,NA
2010-02-22,Wells,Bull Trout,0,NA,NA
2010-02-23,Wells,Bull Trout,0,NA,NA
2010-02-24,Wells,Bull Trout,0,NA,NA
2010-02-25,Wells,Bull Trout,0,NA,NA
2010-02-26,Wells,Bull Trout,0,NA,NA
2010-02-27,Wells,Bull Trout,0,NA,NA
2010-02-28,Wells,Bull Trout,0,NA,NA
2010-03-01,Wells,Bull Trout,0,NA,NA
2010-03-02,Wells,Bull Trout,0,NA,NA
2010-03-03,Wells,Bull Trout,0,NA,NA
2010-03-04,Wells,Bull Trout,0,NA,NA
2010-03-05,Wells,Bull Trout,0,NA,NA
2010-03-06,Wells,Bull Trout,0,NA,NA
2010-03-07,Wells,Bull Trout,0,NA,NA
2010-03-08,Wells,Bull Trout,0,NA,NA
2010-03-09,Wells,Bull Trout,0,NA,NA
2010-03-10,Wells,Bull Trout,0,NA,NA
2010-03-11,Wells,Bull Trout,0,NA,NA
2010-03-12,Wells,Bull Trout,0,NA,NA
2010-03-13,Wells,Bull Trout,0,NA,NA
2010-03-14,Wells,Bull Trout,0,NA,NA
2010-03-15,Wells,Bull Trout,0,NA,NA
2010-03-16,Wells,Bull Trout,0,NA,NA
2010-03-17,Wells,Bull Trout,0,NA,NA
2010-03-18,Wells,Bull Trout,0,NA,NA
2010-03-19,Wells,Bull Trout,0,NA,NA
2010-03-20,Wells,Bull Trout,0,NA,NA
2010-03-21,Wells,Bull Trout,0,NA,NA
